Group,iso3c,year,SH.UHC.FBP1.TO,SH.UHC.FBP1.ZS,SH.UHC.FBP2.TO,SH.UHC.FBP2.ZS,SH.UHC.FBPR.TO,SH.UHC.FBPR.ZS,SH.UHC.NOP1.TO,SH.UHC.NOP1.ZS,SH.UHC.NOP2.TO,SH.UHC.NOP2.ZS,SH.UHC.NOPR.TO,SH.UHC.NOPR.ZS,SH.UHC.OOPC.10.TO,SH.UHC.OOPC.10.ZS,SH.UHC.OOPC.25.TO,SH.UHC.OOPC.25.ZS
East Asia & Pacific,EAS,2000,442.17,21.59,936.56,45.73,234.45,11.45,28.59,1.4,26.8,1.31,24.72,1.21,181.6,8.87,40.23,1.96
East Asia & Pacific,EAS,2005,352.74,16.54,714.45,33.5,208.1,9.76,45.63,2.14,44.07,2.07,44.86,2.1,260.41,12.21,71.56,3.36
East Asia & Pacific,EAS,2010,196.14,8.87,561.64,25.41,337.35,15.26,39.96,1.81,54.55,2.47,31.24,1.41,305.31,13.81,84.55,3.83
East Asia & Pacific,EAS,2015,88.68,3.86,373.06,16.26,459.25,20.01,20.78,0.91,53.04,2.31,37.95,1.65,351.51,15.32,93.64,4.08
East Asia & Pacific,EAS,2017,69.47,2.99,308.51,13.26,475.18,20.42,17.04,0.73,50.98,2.19,39.09,1.68,389.41,16.73,105.5,4.53
East Asia & Pacific,EAS,2019,14.93,0.63,129.02,5.48,507.6,21.56,3.44,0.15,21.75,0.92,43.98,1.87,396.47,16.84,104.43,4.44
Europe & Central Asia,ECS,2000,11.02,1.28,39.47,4.57,94.05,10.9,1,0.12,5.04,0.58,11.84,1.37,53.5,6.2,7.47,0.87
Europe & Central Asia,ECS,2005,7.96,0.91,19.25,2.21,103.47,11.85,0.8,0.09,1.81,0.21,13.09,1.5,58.13,6.66,8.54,0.98
Europe & Central Asia,ECS,2010,7.22,0.81,14.26,1.6,101.77,11.44,0.85,0.1,1.54,0.17,19.05,2.14,54.5,6.13,8.45,0.95
Europe & Central Asia,ECS,2015,4.42,0.49,10.12,1.11,102.27,11.26,0.54,0.06,1.37,0.15,21.08,2.32,64.33,7.08,10.18,1.12
Europe & Central Asia,ECS,2017,4.57,0.5,10.09,1.1,104.17,11.37,0.49,0.05,1.56,0.17,20.56,2.25,68.01,7.43,11.3,1.23
Europe & Central Asia,ECS,2019,5.61,0.61,10.03,1.09,104.65,11.36,0.57,0.06,1.78,0.19,17.44,1.89,72.81,7.9,11.87,1.29
High income,HIC,2000,0.06,0.01,0.18,0.02,98.45,10.89,0.04,0,0.03,0,7.97,0.88,62.35,6.9,9.61,1.06
High income,HIC,2005,0.07,0.01,0.1,0.01,113.58,11.22,0,0,0.01,0,9.86,0.97,69.07,6.82,10.58,1.05
High income,HIC,2010,0.06,0,0.28,0.02,121.08,10.71,0.05,0,0.05,0,15.47,1.37,68.77,6.08,10.55,0.93
High income,HIC,2015,0.08,0.01,0.39,0.03,120.87,10.18,0.04,0,0.15,0.01,17.95,1.51,80.97,6.82,12.99,1.09
High income,HIC,2017,0.15,0.01,0.3,0.02,126.47,10.12,0.04,0,0.19,0.02,18.63,1.49,86.43,6.92,13.72,1.1
High income,HIC,2019,0.15,0.01,0.35,0.03,123.08,9.95,0.08,0.01,0.63,0.05,16.1,1.3,90.41,7.31,13.59,1.1
Latin America & Caribbean,LCN,2000,32.54,6.24,54.39,10.43,70.77,13.58,18.63,3.57,8.63,1.66,7.75,1.49,51.07,9.8,9.05,1.74
Latin America & Caribbean,LCN,2005,22.82,4.1,60.96,10.95,71.38,12.82,6.6,1.19,6.76,1.21,8.09,1.45,56.55,10.16,10.03,1.8
Latin America & Caribbean,LCN,2010,14.07,2.39,40.9,6.95,89.13,15.13,3.1,0.53,5.92,1.01,8.98,1.53,61.05,10.37,10.82,1.84
Latin America & Caribbean,LCN,2015,7.18,1.16,33.47,5.39,93.55,15.05,1.08,0.17,4,0.64,10.93,1.76,60.78,9.78,11.4,1.83
Latin America & Caribbean,LCN,2017,5.35,0.84,26.9,4.24,95.97,15.14,0.93,0.15,3.73,0.59,13.05,2.06,57.46,9.07,10.57,1.67
Latin America & Caribbean,LCN,2019,8.28,1.28,42.12,6.53,101.2,15.68,0.71,0.11,4.26,0.66,12.61,1.95,63.58,9.85,12.55,1.95
Low income,LIC,2000,883.26,35.11,1533.68,60.97,206.02,8.19,72.99,2.9,44.27,1.76,44.53,1.77,278.6,11.07,57.81,2.3
Low income,LIC,2005,685.61,28.17,1270.78,52.22,211.55,8.69,90.01,3.7,68.27,2.81,48.33,1.99,307.61,12.64,74.01,3.04
Low income,LIC,2010,214.37,26.72,354.4,44.17,91.43,11.39,16.76,2.09,16.26,2.03,12.91,1.61,62.85,7.83,14.42,1.8
Low income,LIC,2015,165.35,25.88,296.31,46.39,84.5,13.23,9.66,1.51,8.52,1.33,9.1,1.42,42.03,6.58,8.41,1.32
Low income,LIC,2017,133.85,18.29,277.69,37.94,95.19,13,8.42,1.15,10.24,1.4,10.38,1.42,49.4,6.75,10.3,1.41
Low income,LIC,2019,101.76,14.92,233.67,34.26,88.25,12.94,7.97,1.17,11.48,1.68,10.12,1.48,50.54,7.41,9.96,1.46
Lower-middle income,LMC,2000,341.31,16.64,782.69,38.15,243.49,11.87,26.58,1.3,30.93,1.51,25.53,1.24,193.52,9.43,40.78,1.99
Lower-middle income,LMC,2005,339.34,13.65,741.28,29.82,251.78,10.13,49.48,1.99,54.35,2.19,50.48,2.03,319.04,12.83,79.81,3.21
Lower-middle income,LMC,2010,451.2,17.55,1122.84,43.69,248.88,9.68,79.87,3.11,74.4,2.89,61.64,2.4,319.55,12.43,73.93,2.88
Lower-middle income,LMC,2015,280.71,9.44,917.27,30.85,289.42,9.73,74.43,2.5,100.55,3.38,74.1,2.49,419.13,14.1,121.89,4.1
Lower-middle income,LMC,2017,205.18,6.81,744.87,24.72,307.43,10.2,63.99,2.12,104.56,3.47,74.65,2.48,428,14.2,141.66,4.7
Lower-middle income,LMC,2019,170.16,5.76,684.78,23.19,338.05,11.45,44.27,1.5,105.36,3.57,93.51,3.17,462.98,15.68,157.34,5.33
Middle East & North Africa,MEA,2000,5.35,1.67,42.62,13.28,31.46,9.8,3.94,1.23,6.91,2.15,5.69,1.77,37.25,11.6,5.93,1.85
Middle East & North Africa,MEA,2005,8.45,2.38,48.57,13.7,41.61,11.74,4.43,1.25,9.76,2.75,7.6,2.14,45.91,12.95,8.15,2.3
